repo_path	slice	inspection_level	evidence_status	next_action
/Users/amuldotexe/Desktop/TauriAppsOSS	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/methods-agents-hub/agent-room-of-requirements	other_or_low_signal	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/notes-plans-hub/Notes2026	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/notes-plans-hub/hogwarts202603	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/agent-debate	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/airflow	other_or_low_signal	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/alien	other_or_low_signal	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/alienplatform/alien	other_or_low_signal	metadata_browsed_name_cited	basename_cited_plus_top_level_metadata	verify_exact_repo_path_before_using_as_design_evidence
/Users/amuldotexe/Desktop/oss-read-only/alienplatform/container_registry-rs	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/alienplatform/dockdash	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/alienplatform/quickwit	storage_columnar_memory	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/arrow-rs	query_compiler_execution	metadata_browsed_name_cited	basename_cited_plus_top_level_metadata	verify_exact_repo_path_before_using_as_design_evidence
/Users/amuldotexe/Desktop/oss-read-only/arroyo	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/auron	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/clarity-cli	parser_code_intelligence	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/claude-peers-mcp	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/cocoindex	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/codex	parser_code_intelligence	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/dask	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/datafusion	query_compiler_execution	metadata_browsed_name_cited	basename_cited_plus_top_level_metadata	verify_exact_repo_path_before_using_as_design_evidence
/Users/amuldotexe/Desktop/oss-read-only/dbt-core	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/feldera	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/great_expectations	other_or_low_signal	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/hermes-agent	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/ibis	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/iggy	storage_columnar_memory	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/korrela-deployiq	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/materialize	query_compiler_execution	metadata_browsed_name_cited	basename_cited_plus_top_level_metadata	verify_exact_repo_path_before_using_as_design_evidence
/Users/amuldotexe/Desktop/oss-read-only/omnigraph	graph_algorithms_sparse	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/opendal	storage_columnar_memory	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/openobserve	other_or_low_signal	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/pandas	other_or_low_signal	metadata_browsed_name_cited	basename_cited_plus_top_level_metadata	verify_exact_repo_path_before_using_as_design_evidence
/Users/amuldotexe/Desktop/oss-read-only/parseltongue-rust-LLM-companion	parser_code_intelligence	metadata_browsed_name_cited	basename_cited_plus_top_level_metadata	verify_exact_repo_path_before_using_as_design_evidence
/Users/amuldotexe/Desktop/oss-read-only/pi_agent_rust	rust_systems_tooling	metadata_browsed_gap	top_level_metadata_recorded_for_relevant_slice	targeted_source_read_or_cgc_scan
/Users/amuldotexe/Desktop/oss-read-only/pinot	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/plotly.py	other_or_low_signal	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/polars	query_compiler_execution	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/risingwave	query_compiler_execution	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/sail	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/scikit-learn	other_or_low_signal	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/streamlit	other_or_low_signal	direct_source_cited	full_path_cited_plus_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/superset	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/tao	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/tauri	rust_systems_tooling	metadata_browsed_gap	top_level_metadata_recorded_for_relevant_slice	targeted_source_read_or_cgc_scan
/Users/amuldotexe/Desktop/oss-read-only/vaex	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/warp	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/wry	rust_systems_tooling	metadata_browsed_gap	top_level_metadata_recorded_for_relevant_slice	targeted_source_read_or_cgc_scan
/Users/amuldotexe/Desktop/oss-read-only/xarray	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/zed-gpui	other_or_low_signal	metadata_browsed_low_signal	top_level_metadata_recorded	skip_unless_new_requirement_makes_relevant
