repo_path	slice	prior_inspection_level	metadata_browse_status	readme_files	manifest_files	source_hints	top_level_sample	disposition	next_action
/Users/amuldotexe/Desktop/TauriAppsOSS	other_or_low_signal	inventory_only	opened_top_level	README.md	none	py:43,sh:4,sql:2,toml:1	.DS_Store,.claude,.code-map,.codex,.codex-git-backups,.gitattributes,.github,.gitignore,.hermes,.specstory,40,A00-one-person-business-research	low_signal_metadata_browsed	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/methods-agents-hub/agent-room-of-requirements	other_or_low_signal	direct_source_cited	opened_top_level	none	none	no_shallow_source_hints	.DS_Store,.gitignore,A00-LLM-Principles01.md,A01-LLM-Workflow01.md,A02-Mega-Idiomatic-Prompt.md,agents-used-monthly-archive,claude-skills,docs,git-ref-repo,hermes-skills,idiomatic reference file,unclassified-yet	source_cited_and_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/notes-plans-hub/Notes2026	other_or_low_signal	inventory_only	opened_top_level	none	none	py:1	.DS_Store,.claude,.gitignore,.gitmodules,.mcp.json,Index-20260425-notes2026-reclassification.md,ab02-campfire-rust-rewrite,ab03-content-of-amuldotexe,ab04-rust-library-ideation,ab05-decompilation-research,ab06-agent-references,ab07_interview_prep	low_signal_metadata_browsed	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/notes-plans-hub/hogwarts202603	other_or_low_signal	inventory_only	opened_top_level	README.md	none	no_shallow_source_hints	.DS_Store,.claude,.factory,.gitignore,Index-20260425-hogwarts-reclassification.md,README.md,idiomatic2026,monetization-202603	low_signal_metadata_browsed	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/agent-debate	other_or_low_signal	inventory_only	opened_top_level	README.md	none	sh:2	.gitignore,README.md,TEMPLATE.md,agent-guardrails.md,assets,debate.config.json,debates,install.sh,orchestrate.sh	low_signal_metadata_browsed	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/airflow	other_or_low_signal	direct_source_cited	opened_top_level	README.md	Dockerfile,airflow-core/pyproject.toml,airflow-ctl-tests/pyproject.toml,airflow-ctl/pyproject.toml,airflow-e2e-tests/pyproject.toml,chart/pyproject.toml,dev/pyproject.toml,devel-common/pyproject.toml,docker-stack-docs/pyproject.toml,docker-tests/pyproject.toml,go-sdk/go.mod,kubernetes-tests/pyproject.toml,performance/pyproject.toml,providers-summary-docs/pyproject.toml,pyproject.toml,registry/package.json	yaml:122,toml:110,py:95,yml:65,sh:39,go:8,js:1	.DS_Store,.asf.yaml,.bash_completion,.cherry_picker.toml,.claude,.codespellignorelines,.devcontainer,.dockerignore,.editorconfig,.git-blame-ignore-revs,.gitattributes,.github	source_cited_and_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/alien	other_or_low_signal	direct_source_cited	opened_top_level	README.md	Cargo.toml,examples/package.json,package.json	toml:46,ts:21,yml:6,yaml:5,sh:4,rs:3	.DS_Store,.cargo,.changeset,.config,.env.test.example,.github,.gitignore,.release-plz.toml,AGENTS.md,CLAUDE.md,Cargo.lock,Cargo.toml	source_cited_and_metadata_browsed	none_unless_deeper_follow_up_needed
/Users/amuldotexe/Desktop/oss-read-only/alienplatform/alien	other_or_low_signal	name_cited_or_related	opened_top_level	README.md	Cargo.toml,examples/package.json,package.json	toml:46,ts:21,yml:6,yaml:5,sh:4,rs:3	.DS_Store,.cargo,.changeset,.config,.env.test.example,.github,.gitignore,.release-plz.toml,AGENTS.md,CLAUDE.md,Cargo.lock,Cargo.toml	name_cited_and_metadata_browsed	verify_exact_repo_path_before_using_as_design_evidence
/Users/amuldotexe/Desktop/oss-read-only/alienplatform/container_registry-rs	other_or_low_signal	inventory_only	opened_top_level	README.md	Cargo.toml	rs:9,sh:2,yml:1,toml:1	.github,.gitignore,CHANGELOG.md,Cargo.lock,Cargo.toml,LICENSE,README.md,default.nix,fixtures,quick-test.sh,src,upload.sh	low_signal_metadata_browsed	skip_unless_new_requirement_makes_relevant
/Users/amuldotexe/Desktop/oss-read-only/alienplatform/dockdash	other_or_low_signal	inventory_only	opened_top_level	README.md	Cargo.toml	rs:8,toml:3,yml:2	.github,.gitignore,CHANGELOG.md,Cargo.lock,Cargo.toml,LICENSE,README.md,cliff.toml,examples,release-plz.toml,src,tests	low_signal_metadata_browsed	skip_unless_new_requirement_makes_relevant
